 2965.3  8.9815  0.0770  9.0839
 2966.0  8.9847  0.0770  9.1404
 2966.7  9.1150  0.0775  9.2340
 2967.4  9.2489  0.0779  9.4829
 2968.1  9.1167  0.0795  9.3564
 2968.8  9.1357  0.0794  9.5142
 2969.5  9.0426  0.0783  8.8611
 2970.2  9.0178  0.0744  9.2194
 2970.9  9.1035  0.0746  9.2710
 2971.5  9.0868  0.0747  9.2060
 2972.2  9.1153  0.0765  9.3013
 2972.9  9.1465  0.0764  9.2869
 2973.6  9.1105  0.0762  9.2386
 2974.3  9.0492  0.0759  9.1294
 2975.0  9.0272  0.0758  9.0811
 2975.7  8.9917  0.0759  9.0411
 2976.4  8.9931  0.0755  9.1165
 2977.1  9.0623  0.0758  9.1549
 2977.8  9.0221  0.0755  8.5894
 2978.5  8.9568  0.0748  8.7590
 2979.1  8.9613  0.0747  8.7649
 2979.8  8.9963  0.0746  8.7860
 2980.5  9.0607  0.0750  8.7928
 2981.2  9.1248  0.0752  8.8832
 2981.9  8.9319  0.0744  8.6970
 2982.6  8.9865  0.0747  8.7712
 2983.3  9.0296  0.0747  8.7804
 2984.0  8.7695  0.0722  8.8697
 2984.7  8.8801  0.0730  8.8457
 2985.4  8.6764  0.0722  8.6420
 2986.1  8.7376  0.0722  8.6817
 2986.8  8.7076  0.0721  8.5871
 2987.5  8.6654  0.0718  8.5860
 2988.2  8.6321  0.0717  8.4518
 2988.9  8.6444  0.0717  8.5268
 2989.6  8.5675  0.0714  8.4749
 2990.3  8.6452  0.0720  8.4619
 2990.9  8.7493  0.0724  8.5589
 2991.6  8.6966  0.0721  8.5044
 2992.4  8.6356  0.0717  8.3856
 2993.0  8.6648  0.0717  8.5729
 2993.7  8.6873  0.0717  8.6993
 2994.4  8.6492  0.0718  8.5026
 2995.1  8.5777  0.0716  8.2808
 2995.8  8.5921  0.0714  8.3805
 2996.5  8.5307  0.0709  8.4189
 2997.2  8.5495  0.0709  8.3566
 2997.9  8.4708  0.0706  8.1711
 2998.6  8.5105  0.0706  8.3223
 2999.3  8.5440  0.0706  8.3157
 3000.0  8.5004  0.0705  8.3659
 3000.7  8.5725  0.0706  8.4267
 3001.4  8.6375  0.0710  8.4196
 3002.1  8.5465  0.0706  8.3889
 3002.8  8.5266  0.0706  8.3027
 3003.5  8.5983  0.0708  8.4202
 3004.2  8.6608  0.0708  8.5115
 3004.9  8.6113  0.0709  8.5340
 3005.6  8.6411  0.0712  8.5307
 3006.3  8.6138  0.0711  8.3583
 3007.0  8.5461  0.0708  8.3531
 3007.7  8.5382  0.0704  8.3872
 3008.4  8.4662  0.0701  8.2574
 3009.1  8.4135  0.0698  8.1534
 3009.8  8.4630  0.0701  8.2420
 3010.5  8.4586  0.0703  8.2680
 3011.2  8.4952  0.0703  7.9383
 3011.9  8.4487  0.0694  8.1768
 3012.6  8.3659  0.0688  8.0483
 3013.3  8.3671  0.0687  8.1479
 3014.0  8.3216  0.0685  8.1023
 3014.7  8.4016  0.0686  8.1801
 3015.4  8.3895  0.0684  8.1657
 3016.1  8.3043  0.0683  8.0049
 3016.8  8.3470  0.0685  8.0963
 3017.5  8.3189  0.0686  7.9967
 3018.2  8.3340  0.0685  7.9984
 3018.9  8.3632  0.0685  8.0970
 3019.6  8.3677  0.0683  8.0894
 3020.3  8.4217  0.0684  8.1892
 3021.0  8.4062  0.0682  8.1571
 3021.7  8.3333  0.0679  8.0496
 3022.4  8.2849  0.0676  8.0647
 3023.1  8.2742  0.0677  8.0288
 3023.8  8.3516  0.0681  8.0714
 3024.5  8.3360  0.0678  8.0042
 3025.2  8.3408  0.0676  8.0508
 3025.9  8.4143  0.0677  8.1847
 3026.6  8.4058  0.0677  8.2102
 3027.4  8.3184  0.0677  8.1051
 3028.1  8.3634  0.0681  8.1633
 3028.8  8.3997  0.0681  8.1945
 3029.5  8.3403  0.0679  8.0728
 3030.2  8.3904  0.0680  8.1092
 3030.9  8.4795  0.0682  8.1636
 3031.6  8.4725  0.0681  8.1668
 3032.3  8.4140  0.0676  8.1591
 3033.0  8.4525  0.0676  8.2356
 3033.7  8.4615  0.0675  8.2096
 3034.4  8.3967  0.0674  8.1953
 3035.1  8.4154  0.0678  8.2077
 3035.8  8.4399  0.0680  8.1887
 3036.5  8.4220  0.0676  8.2253
 3037.2  8.4001  0.0675  8.1560
 3037.9  8.3730  0.0672  8.0997
 3038.6  8.3031  0.0670  8.0409
 3039.3  8.3031  0.0668  8.0024
 3040.1  8.2098  0.0666  7.9075
 3040.8  8.3624  0.0670  8.1453
 3041.5  8.4957  0.0674  8.2967
 3042.2  8.3939  0.0673  8.1841
 3042.9  8.3971  0.0673  8.1774
 3043.6  8.4030  0.0673  8.2556
 3044.3  8.3788  0.0672  8.2622
 3045.0  8.4093  0.0672  8.2821
 3045.7  8.3829  0.0673  8.1938
 3046.4  8.4221  0.0676  8.2537
 3047.1  8.4141  0.0680  8.1722
 3047.8  8.4463  0.0679  8.2453
 3048.6  8.4277  0.0673  8.2973
 3049.3  8.4380  0.0670  8.2374
 3050.0  8.4266  0.0674  8.2121
 3050.7  8.4437  0.0673  8.2489
 3051.4  8.3683  0.0673  8.1769
 3052.1  8.4299  0.0675  8.1379
 3052.8  8.4291  0.0675  8.1594
 3053.5  8.4552  0.0678  8.1803
 3054.2  8.5755  0.0686  8.3331
 3054.9  8.4183  0.0692  8.2565
 3055.6  8.4983  0.0695  8.3323
 3056.4  8.4217  0.0675  8.1835
 3057.1  8.3461  0.0670  8.1251
 3057.8  8.4261  0.0670  8.2708
 3058.5  8.4066  0.0671  8.1903
 3059.2  8.4875  0.0672  8.2748
 3059.9  8.5312  0.0672  8.3210
 3060.6  8.4706  0.0669  8.2519
 3061.3  8.5447  0.0669  8.2942
 3062.1  8.4815  0.0667  8.2415
 3062.8  8.5078  0.0669  8.2875
 3063.5  8.5536  0.0669  8.3340
 3064.2  8.5087  0.0669  8.2913
 3064.9  8.5281  0.0670  8.3004
 3065.6  8.5042  0.0670  8.2612
 3066.3  8.4816  0.0666  8.3205
 3067.0  8.4757  0.0667  8.3469
 3067.8  8.5102  0.0667  8.3292
 3068.5  8.5611  0.0669  8.3217
 3069.2  8.5768  0.0671  8.2870
 3069.9  8.5738  0.0671  8.3300
 3070.6  8.5385  0.0671  8.2657
 3071.3  8.5007  0.0667  8.2748
 3072.0  8.5232  0.0666  8.3344
 3072.8  8.4328  0.0664  8.1927
 3073.5  8.4139  0.0665  8.1806
 3074.2  8.4931  0.0667  8.3151
 3074.9  8.5321  0.0665  8.4367
 3075.6  8.4821  0.0662  8.3165
 3076.3  8.3737  0.0656  8.1240
 3077.0  8.4071  0.0656  8.1982
 3077.8  8.4245  0.0656  8.2252
 3078.5  8.3740  0.0656  8.1957
 3079.2  8.5012  0.0660  8.3191
 3079.9  8.6406  0.0664  8.4174
 3080.6  8.4880  0.0659  8.2372
