# wl wmean ewmean
1.033730352228520587e+03 8.312877523711803107e+00 1.487680643226062083e+00
1.034130352228520451e+03 8.334502086329914405e+00 1.406442613671775810e+00
1.034530352228520314e+03 8.318585121441930852e+00 1.405199085634210476e+00
1.034930352228520405e+03 8.251327892821313625e+00 1.406133292817028035e+00
1.035330352228520496e+03 8.127351473716304397e+00 1.370483460864053260e+00
1.035730352228520360e+03 7.960457712607555081e+00 1.366255374957094704e+00
1.036130352228520223e+03 7.767226354202771077e+00 1.319065565778441362e+00
1.036530352228520314e+03 7.564261397693054612e+00 1.276461584570432795e+00
1.036930352228520405e+03 7.365561081318586112e+00 1.269540055381882748e+00
1.037330352228520269e+03 7.173834632910449649e+00 1.230062087878464938e+00
1.037730352228520132e+03 6.988811455459985389e+00 1.218041647496504121e+00
1.038130352228520223e+03 6.810220768738118657e+00 1.212954534423404063e+00
1.038530352228520314e+03 6.637818028354368849e+00 1.192285577486505987e+00
1.038930352228520178e+03 6.471878809758047524e+00 1.118399131308312144e+00
1.039330352228520042e+03 6.314217212851994887e+00 1.168174045689398977e+00
1.039730352228520132e+03 6.166912878371318740e+00 1.096251377818356687e+00
1.040130352228520223e+03 6.032045097030868774e+00 1.056721752137438131e+00
1.040530352228520087e+03 5.946711202964451104e+00 1.009255705842168060e+00
1.040930352228519951e+03 5.872321033287823511e+00 1.002033138305682858e+00
1.041330352228520042e+03 5.799130411603482749e+00 9.570663655001203640e-01
1.041730352228520132e+03 5.755197351244778048e+00 9.453215491251089064e-01
1.042130352228519996e+03 5.715577438407206223e+00 9.377670898970761337e-01
1.042530352228519860e+03 5.699584344099618782e+00 9.134722736400142651e-01
1.042930352228519951e+03 5.697190379187178522e+00 8.977911590132434672e-01
1.043330352228520042e+03 5.686575853566544048e+00 8.986395969117086935e-01
1.043730352228519905e+03 5.691866168037527096e+00 8.954490654110961456e-01
1.044130352228519769e+03 5.689956389800269854e+00 8.850116156871384865e-01
1.044530352228519860e+03 5.695894645297214787e+00 8.609685099242340156e-01
1.044930352228519951e+03 5.693314628582441195e+00 8.704310923567420977e-01
1.045330352228519814e+03 5.687138901744208219e+00 8.394997374573573978e-01
1.045730352228519678e+03 5.673535191210667961e+00 8.439078613941073392e-01
1.046130352228519769e+03 5.662366114197141975e+00 8.436271871013133472e-01
1.046530352228519860e+03 5.640020502617597131e+00 8.198004434599611701e-01
1.046930352228519723e+03 5.617789046597144953e+00 8.278270190866368061e-01
1.047330352228519587e+03 5.600843518811167598e+00 8.320623834587476120e-01
1.047730352228519678e+03 5.572907579729982963e+00 8.230707231333607155e-01
1.048130352228519769e+03 5.553615275876696344e+00 8.059375465985614273e-01
1.048530352228519632e+03 5.528974578235758663e+00 7.848041310696506345e-01
1.048930352228519496e+03 5.518141628226131523e+00 8.022461660862403310e-01
1.049330352228519587e+03 5.515678158821997634e+00 8.245601080755154966e-01
1.049730352228519678e+03 5.509263029293109959e+00 8.038033551824000922e-01
1.050130352228519541e+03 5.520636793783272545e+00 7.766415999830933448e-01
1.050530352228519405e+03 5.522848031642859645e+00 8.065231587523399304e-01
1.050930352228519496e+03 5.536546637341802857e+00 8.046967807696444597e-01
1.051330352228519587e+03 5.550482114956227342e+00 8.087532395884202696e-01
1.051730352228519450e+03 5.564747978772523140e+00 8.047035801066645400e-01
1.052130352228519314e+03 5.578215164921359381e+00 8.131698295319268466e-01
1.052530352228519405e+03 5.588118182415987789e+00 8.239159020653048504e-01
1.052930352228519496e+03 5.593549619760666225e+00 8.013537538976791552e-01
1.053330352228519359e+03 5.592859087524106876e+00 8.163252457155745212e-01
1.053730352228519223e+03 5.579966759518547370e+00 7.612293637238068955e-01
1.054130352228519314e+03 5.563012524104912870e+00 7.445734115490144633e-01
1.054530352228519405e+03 5.550401745357721239e+00 8.194692782277259724e-01
1.054930352228519268e+03 5.530731941297416299e+00 8.154448803575199411e-01
1.055330352228519132e+03 5.507311099427383283e+00 8.026337787109321109e-01
1.055730352228519223e+03 5.491859027284816896e+00 8.302832038364968970e-01
1.056130352228519314e+03 5.473017067061631380e+00 8.228199313097632750e-01
1.056530352228519178e+03 5.453936587213102705e+00 7.822948855373440535e-01
1.056930352228519041e+03 5.460878429407448387e+00 8.270179772816146357e-01
1.057330352228519132e+03 5.453952068412104559e+00 8.359598933936632781e-01
1.057730352228519223e+03 5.475973220228997462e+00 8.334084369355810873e-01
1.058130352228519087e+03 5.489101721508334641e+00 8.329670391423127374e-01
1.058530352228518950e+03 5.508079861997099869e+00 7.653288797962672918e-01
1.058930352228519041e+03 5.545397471749668128e+00 8.450941008315361325e-01
1.059330352228519132e+03 5.571146242749573041e+00 8.549996387250148322e-01
1.059730352228518996e+03 5.595075103411245365e+00 8.761783091686579095e-01
1.060130352228518859e+03 5.609640688715560763e+00 8.684958432987788246e-01
1.060530352228518950e+03 5.619136646626254894e+00 8.669007194880515854e-01
1.060930352228519041e+03 5.620010565511533329e+00 8.641919477694546270e-01
1.061330352228518905e+03 5.615853200780925647e+00 8.682924920344289310e-01
1.061730352228518768e+03 5.606228290282238902e+00 8.733836246260695546e-01
1.062130352228518859e+03 5.591876981045615480e+00 8.641985070818840597e-01
1.062530352228518950e+03 5.573714947536234199e+00 8.875287615932452301e-01
1.062930352228518814e+03 5.551507472219241457e+00 8.755879538350946900e-01
1.063330352228518677e+03 5.526932322387894558e+00 8.300644415032562007e-01
1.063730352228518768e+03 5.501883041143162067e+00 9.047697419409569397e-01
1.064130352228518859e+03 5.474074924925747432e+00 8.853204476190552619e-01
1.064530352228518723e+03 5.448303126111393446e+00 9.177987274354617586e-01
1.064930352228518586e+03 5.419394737331378664e+00 8.908369942694793764e-01
1.065330352228518677e+03 5.394945131596039722e+00 9.168618418767231493e-01
1.065730352228518768e+03 5.368587342429562703e+00 8.996683145574273510e-01
1.066130352228518632e+03 5.346511424054679829e+00 9.055656731776433599e-01
1.066530352228518495e+03 5.326880942778910111e+00 9.008291012759845895e-01
1.066930352228518586e+03 5.308322414214461382e+00 8.970688599760010540e-01
1.067330352228518677e+03 5.290189577948088306e+00 8.504738296940607123e-01
1.067730352228518541e+03 5.284677396349197309e+00 9.058858416546980985e-01
1.068130352228518404e+03 5.276571692835516636e+00 8.845525758669334770e-01
1.068530352228518495e+03 5.271474417365193510e+00 8.394432316692518325e-01
1.068930352228518586e+03 5.277606380137422448e+00 8.925302879037990689e-01
1.069330352228518450e+03 5.286288868973681332e+00 8.857172969588540390e-01
1.069730352228518313e+03 5.295868551309910188e+00 8.809892940865823308e-01
1.070130352228518404e+03 5.310453021304704535e+00 8.831851348525601164e-01
1.070530352228518495e+03 5.327226795318703800e+00 8.780660072420447548e-01
1.070930352228518359e+03 5.345862735262209675e+00 8.560885719298314545e-01
1.071330352228518223e+03 5.361886439717455488e+00 8.169264588208058342e-01
1.071730352228518313e+03 5.379561187202593686e+00 7.826966365756516941e-01
1.072130352228518404e+03 5.392038365397598731e+00 8.426872212880274216e-01
1.072530352228518268e+03 5.399005045661231073e+00 8.374665919465117403e-01
1.072930352228518132e+03 5.401483522809990667e+00 8.277867392303767113e-01
1.073330352228518223e+03 5.391811653288010930e+00 8.249950167702185810e-01
1.073730352228518313e+03 5.378116074759089926e+00 8.012549798092359898e-01
1.074130352228518177e+03 5.357716891925462299e+00 8.193775952955423270e-01
1.074530352228518041e+03 5.327067661211045468e+00 8.024303660710297992e-01
1.074930352228518132e+03 5.290206468623427583e+00 7.860403589637824373e-01
1.075330352228518223e+03 5.254588382446268469e+00 7.335108930662788129e-01
1.075730352228518086e+03 5.211585130273419963e+00 7.690211580090819954e-01
1.076130352228517950e+03 5.172475173017071270e+00 7.593872742663535513e-01
1.076530352228518041e+03 5.137390629106330486e+00 7.506858382481008674e-01
1.076930352228518132e+03 5.104566024210277497e+00 7.277511869336109607e-01
1.077330352228517995e+03 5.076337392841136165e+00 7.341600975924217343e-01
1.077730352228517859e+03 5.051375260697263947e+00 6.903640187355005731e-01
1.078130352228517950e+03 5.031081660503879505e+00 6.765115960868891554e-01
1.078530352228518041e+03 5.013006568967386833e+00 6.750683250925531009e-01
1.078930352228517904e+03 4.998047562824570633e+00 6.761251392893840029e-01
1.079330352228517768e+03 4.986205164098449494e+00 6.675761650146928572e-01
1.079730352228517859e+03 4.979185472559146675e+00 6.473804144798214200e-01
1.080130352228517950e+03 4.972808885817313396e+00 6.408396796983010235e-01
1.080530352228517813e+03 4.966794453827094280e+00 6.317117977321107247e-01
1.080930352228517677e+03 4.966185779310656301e+00 6.568394445018670424e-01
1.081330352228517768e+03 4.965082891376253471e+00 6.331046056865063942e-01
1.081730352228517859e+03 4.961147256772145298e+00 6.392850542091432775e-01
1.082130352228517722e+03 4.958603561060012765e+00 6.203593231814074072e-01
1.082530352228517586e+03 4.954863350412985312e+00 6.331820428259443689e-01
1.082930352228517677e+03 4.950590227605768057e+00 6.092139600857098269e-01
1.083330352228517768e+03 4.943028109680571269e+00 6.067919167823396798e-01
1.083730352228517631e+03 4.933576695522662980e+00 5.880070407932307397e-01
1.084130352228517495e+03 4.920701982485690351e+00 5.630577807588350581e-01
1.084530352228517586e+03 4.906798555567760012e+00 5.169577481801558294e-01
1.084930352228517677e+03 4.899896436648891296e+00 5.622813871968710409e-01
1.085330352228517540e+03 4.885359720782839865e+00 5.619043146017587143e-01
1.085730352228517404e+03 4.868966705513957827e+00 5.624286503009654492e-01
1.086130352228517495e+03 4.853949361251010508e+00 5.604760603812009023e-01
1.086530352228517586e+03 4.840626305321466205e+00 5.705461208408950657e-01
1.086930352228517449e+03 4.824756098366667523e+00 5.729472018991503823e-01
1.087330352228517313e+03 4.809119544534241619e+00 5.620569211769775864e-01
1.087730352228517404e+03 4.791860951426268223e+00 5.601282373534437475e-01
1.088130352228517495e+03 4.774141798090061783e+00 5.349328235860805192e-01
1.088530352228517359e+03 4.762129688555370777e+00 5.487821236000050007e-01
1.088930352228517222e+03 4.743559113066600830e+00 5.279063998057494933e-01
1.089330352228517313e+03 4.757059212332909404e+00 4.679206637697387317e-01
1.089730352228517404e+03 4.757329219083016092e+00 4.859814681291741434e-01
1.090130352228517268e+03 4.742949523886260899e+00 4.818528843264828221e-01
1.090530352228517131e+03 4.740929383380448670e+00 4.945215441880330132e-01
1.090930352228517222e+03 4.717708456827722330e+00 4.641833647790201689e-01
1.091330352228517313e+03 4.706647949635662798e+00 4.633745992982910566e-01
1.091730352228517177e+03 4.723236917797964729e+00 4.933061503932680281e-01
1.092130352228517040e+03 4.724003727721093782e+00 4.987163441533870589e-01
1.092530352228517131e+03 4.714413831295787283e+00 4.860757441770034437e-01
1.092930352228517222e+03 4.696072050234414874e+00 4.840153719164398405e-01
1.093330352228517086e+03 4.699841606388886817e+00 4.780804247588182343e-01
1.093730352228516949e+03 4.697524525478270263e+00 4.814455599941205866e-01
1.094130352228517040e+03 4.675165151901994776e+00 4.595352434960021104e-01
1.094530352228517131e+03 4.701814888610918786e+00 4.848917693940054119e-01
1.094930352228516995e+03 4.702934247694013692e+00 4.875940059791744607e-01
1.095330352228516858e+03 4.701951378336946874e+00 4.805802888903825121e-01
1.095730352228516949e+03 4.682667152825849222e+00 4.665413117672108090e-01
1.096130352228517040e+03 4.709324024384020646e+00 4.774810896465150889e-01
1.096530352228516904e+03 4.715400388507526408e+00 4.835988940860620477e-01
1.096930352228516767e+03 4.717837441690344136e+00 4.798945598309212746e-01
1.097330352228516858e+03 4.701289114273253134e+00 4.617007921338530108e-01
1.097730352228516949e+03 4.692662516656987748e+00 4.496953867094534707e-01
1.098130352228516813e+03 4.733840226938030860e+00 4.782711735796039143e-01
1.098530352228516676e+03 4.748659026938486960e+00 4.569071721365552952e-01
1.098930352228516767e+03 4.757787725234879694e+00 4.602925997402247393e-01
1.099330352228516858e+03 4.724410988182400573e+00 4.644700262866420237e-01
1.099730352228516722e+03 4.731479204101134428e+00 4.653994613319252793e-01
1.100130352228516585e+03 4.729145401336523058e+00 4.744319749614140380e-01
1.100530352228516676e+03 4.734143832598122437e+00 4.809016602785025074e-01
1.100930352228516767e+03 4.737786993333807928e+00 4.774989271209222896e-01
1.101330352228516631e+03 4.727630239912204324e+00 4.772629221001291611e-01
1.101730352228516495e+03 4.737404356307368225e+00 4.882082593256679148e-01
1.102130352228516585e+03 4.724230418545286803e+00 4.958376027758593652e-01
1.102530352228516676e+03 4.727451668089570624e+00 4.987545176860800900e-01
1.102930352228516540e+03 4.653325459326350888e+00 4.397237003087626217e-01
